Sr No,Questions,Answers,,,
1,T'Challa of the fictional African nation Wakanda is better known as which Marvel super hero who hit the big screens in early 2018?,Black Panther,Ratatouille,John Carter,Incredibles 2
2,Which American actor plays Scott Lang in 'Ant-Man and the Wasp'?,Paul Rudd,Chris Evans,Daniel Radcliffe,Johnny Depp
3,'Solo' is latest release from which famous movie franchise?,Star Wars,Avengers,Fast & Furious,Transformers
4,"In Avengers: Infinity War, the team join forces with which other superhero group in an attempt to defeat Thanos?",Guardian of the Galaxy,New Avengers ,Power Rangers,Justice League
5,What is the name of the 2018 thriller which sees Liam Neeson play a former Police Officer caught up in criminality on his journey home from work?,The Commuter,Run All Night,Non-Stop,Source Code
6,Alicia Vikander plays which lead character in the Tomb Raider movie?,Lara Croft,Ana Miller,Jogger,Pamella
7,What is the name of the virtual reality world in Ready Player One?,OASIS,Matrix,OverWorld,
8,The Russo brothers Anthony and Joseph are best known for directing which 2018 Marvel box office hit?,Avengers: Infinity War,Black Panther ,A Star isBorn,Annihilation
9,Which Canadian actor will reprise his role as Wade Wilson in David Leitch's Deadpool 2?,Ryan Reynolds,Jim Carrey,Ryan Gosling,Seth Rogen
10,How is Marvel Comics' Scott Lang better known?,Ant-Man,Micron,Moon Knight,The Atom
11,"Released on Netflix, which science fiction horror sees Natalie Portman and Jennifer Jason Leigh join a research expedition into the Shimmer?",Annihilation,Beyond Skyline,The Cloverfield Paradox,I Am Mother
12,Chris Pratt and Bryce Dallas Howard will reprise their roles from previous films in the series with the June 2018 release of which film?,Jurassic World: Fallen Kingdom,Rocketman,Pete's Dragon,Passengers
13,What is the name of 2018 stop motion animation from Wes Anderson?,Isle of Dogs,Moonrise Kingdom,Castello Cavalcanti,Hitchcock/Truffaut
14,"Sandra Bullock, Cate Blanchett, Anne Hathaway, Mindy Kaling, Sarah Paulson, Awkwafina, Rihanna, and Helena Bonham Carter will all star in an all-female spin off of which Steven Soderbergh trilogy?",Oceans Trilogy (Ocean's 8),Logan Lucky,Unsane,Contagion
15,Jennifer Lawrence played Dominika Egorova in which 2018 Russion spy thriller?,Red Sparrow,The Hunger Games,American Hustle,Winter's Bone
16,Tom Hardy plays investigative journalist Eddie Brock in which Marvel Comics superhero film released in October 2018?,Venom,Dark Knight Rises,The Revenanant,Inception
17,Bradley Cooper's directorial debut sees Cooper's character fall for a young singer played by Lady Gaga? What is the film's title?,A Star is Born,Silver Linings Playbook,The Hangover,American Sniper
18,Which 2018 film directed by Jon M Chu is based on a novel by Kevin Kwan and features a majority Asian American cast?,Crazy Rich Asians,In The Heights,G.I.Joe Retaliation,Now You See Me 2
19,Which 2018 horror film is a spinoff from 2016's The Conjuring 2?,The Nun,Annabelle,Chucky,Jason Voorhees
20,Who stars as title character Aquaman in the December 2018 film based on the DC Comics character of the same name?,Jason Momoa ,Ben Affleck,Henry Cavill ,Tom Hardy
21,Which British actress plays Mary Poppins in Mary Poppins Returns?,Emily Blunt,Emily Mortimer,Meryl Streep,Angela Lansbury
22,"Which 2018 comedy sees high school drop out Teddy Walker, played by Kevin Hart attempt to achieve his General Equivalency Diploma?",Night School,The Upside,Ride Along,Central Intelligence
23,In which film did the following dialogue from - "Slave in the magic mirror. Come from the farthest space. Through wind and darkness I summon thee. Speak! Let me see thy face.",Snow White and the Seven DwarveS,Oliver,Field of Dreams,Braveheart
24,"Which actor, perhaps best known for playing Clark Kent, teamed up with Tom Cruise in 2018's Mission Impossible: Fallout?",Henry Cavill,Tom Cruise ,Simon Pegg ,Ben Affleck
25,Jason Statham plays rescuer Jonas Taylor in which 2018 sci-fi film?,"The Meg",The Mechanic,Crank,The Transporter
26,Who appeared in the 2018 sequel to 1995's Jumanji?,Dwayne Johnson,Ryan Reynolds,Frances Conroy,Jack Nicholson
27,Which former US Office star directed 'A Quiet Place' in 2018?,John Krasinski ,David Fincher,Steven Spielberg,Todd Haynes
28,Bradley Cooper plays Jackson Maine in which 2018 musical film?,A Star is Born,Mary Poppins Returns,Roma,Hereditary
29,Which US dark comedy sees Jason Bateman and Rachel McAdams' family members kidnapped by burglars?,Game Night,Seven Psychopaths,In Bruges,Heathers
30,"Marlin, Dory and Gill are characters from which 2003 animated movie?",Finding Nemo,Ratatouille,The Incredibles,Toy Story 
31,'Cocktails first. Questions Later.' is the tagline to which 1996 film starring Vince Vaughn and Jon Favreau,Swingers,Twister,Fargo,Tin Cup
32,Which much-loved Walt Disney character made his first appearance in the 1934 cartoon The Wise Little Hen?,Donald Duck,Elsa,Ariel,Goofy
